Key,Value,2020-10-11-16-18
00c0-2,6
b360-56,5
00c0-253,5
00c0-291,6
15d8-56,7
15d8-107,5
00c0-36,5
00c0-88,5
00c0-202,6
00c0-306,5
00c0-206,6
00c0-145,5
15d8-284,6
00c0-275,6
15d8-65,8
15d8-184,6
00c0-12,4
15d8-121,5
b360-300,6
00c0-42,4
00c0-337,6
15d8-80,5
15d8-9,5
15d8-45,4
00c0-318,5
15d8-113,6
00c0-182,5
b360-269,5
b360-169,7
15d8-129,6
15d8-290,5
00c0-247,5
00c0-260,5
b360-82,5
15d8-137,5
00c0-143,6
15d8-33,6
15d8-14,5
00c0-244,6
00c0-252,4
15d8-40,5
00c0-273,5
00c0-18,4
00c0-166,5
00c0-172,5
15d8-282,6
15d8-168,5
00c0-201,6
15d8-263,4
b360-315,5
00c0-226,7
dbf0-76,6
15d8-226,5
b360-72,7
00c0-309,4
00c0-129,5
15d8-183,5
dbf0-103,5
15d8-139,4
15d8-224,5
00c0-131,4
00c0-310,6
00c0-316,4
15d8-247,6
15d8-260,6
15d8-70,5
00c0-304,5
00c0-157,5
15d8-66,4
00c0-339,6
00c0-117,5
15d8-304,7
00c0-89,5
00c0-289,5
00c0-215,6
00c0-122,4
00c0-195,5
dbf0-195,5
00c0-334,5
b360-219,6
00c0-39,4
00c0-97,5
15d8-43,4
b360-50,4
15d8-280,5
00c0-276,5
15d8-37,4
00c0-107,5
00c0-123,5
15d8-323,6
15d8-124,4
00c0-150,5
b360-21,5
00c0-325,5
dbf0-216,5
dbf0-172,6
00c0-261,5
00c0-174,4
b360-266,6
15d8-240,6
00c0-65,6
00c0-184,5
15d8-59,4
15d8-94,4
15d8-120,4
15d8-131,4
00c0-272,4
15d8-81,5
15d8-55,4
b360-221,4
00c0-135,5
00c0-90,6
00c0-281,5
00c0-332,5
00c0-186,5
00c0-3,6
00c0-74,5
00c0-194,5
00c0-299,5
00c0-187,4
00c0-169,7
00c0-236,6
00c0-288,4
15d8-306,4
b360-39,6
dbf0-197,5
15d8-165,5
15d8-11,4
b360-237,6
00c0-295,4
15d8-93,5
