Key,Value,2020-10-11-10-32
991f-76,5
991f-62,5
47b2-15,5
8238-10,6
8238-14,6
47b2-14,5
8238-82,5
991f-94,7
1c14-35,4
a3d8-98,6
991f-4,5
991f-97,4
a3d8-30,4
6db8-53,6
207c-14,5
a3d8-35,5
8238-65,6
1c14-71,5
991f-46,6
13c0-38,6
eb91-10,4
991f-19,5
207c-19,5
eb91-38,5
6db8-23,7
207c-65,6
a3d8-92,5
13c0-42,5
47b2-33,4
207c-11,4
a3d8-56,5
bf0d-30,5
a3d8-73,6
eb91-61,4
13c0-33,5
207c-67,6
207c-33,4
47b2-20,4
bf0d-3,5
47b2-95,4
6db8-78,5
eb91-43,4
a3d8-39,5
207c-75,7
a3d8-49,5
a3d8-53,5
a3d8-25,6
eb91-85,7
207c-2,4
13c0-83,4
8238-64,5
1c14-63,4
991f-56,5
bf0d-38,4
13c0-61,6
bf0d-63,5
bf0d-24,6
13c0-96,4
1c14-70,6
eb91-53,5
1c14-3,5
bf0d-29,5
207c-78,6
13c0-88,5
6db8-54,5
47b2-29,5
1c14-98,5
a3d8-32,5
1c14-7,5
bf0d-59,5
6db8-56,7
13c0-36,5
8238-25,5
6db8-4,6
bf0d-45,6
eb91-68,5
13c0-25,5
1c14-54,5
1c14-86,4
eb91-31,5
6db8-8,5
a3d8-47,6
1c14-83,6
8238-46,5
8238-97,4
8238-74,6
a3d8-3,5
1c14-77,4
207c-0,5
207c-68,4
a3d8-50,5
47b2-39,5
6db8-91,5
47b2-68,6
47b2-72,5
eb91-69,4
207c-52,4
207c-24,5
1c14-72,6
207c-12,5
bf0d-89,5
13c0-15,6
8238-37,5
a3d8-37,6
1c14-79,5
6db8-1,5
991f-34,5
8238-40,5
bf0d-97,5
47b2-73,5
a3d8-10,6
991f-6,6
bf0d-56,6
a3d8-23,5
13c0-78,5
8238-28,5
6db8-13,5
207c-54,6
207c-46,5
6db8-90,4
eb91-94,5
47b2-21,5
8238-42,5
13c0-79,7
eb91-49,6
207c-73,7
991f-98,4
eb91-78,6
6db8-72,5
207c-81,5
13c0-95,5
a3d8-52,5
8238-99,7
a3d8-13,6
a3d8-79,6
991f-73,5
47b2-16,5
bf0d-91,5
13c0-32,5
8238-45,6
13c0-35,5
991f-45,4
6db8-48,5
8238-81,5
47b2-27,5
a3d8-86,5
207c-56,5
991f-42,5
991f-52,6
991f-26,6
a3d8-2,5
13c0-24,5
8238-19,5
991f-75,6
bf0d-69,5
8238-92,5
207c-32,5
a3d8-81,5
991f-43,5
8238-7,5
1c14-17,5
207c-15,4
a3d8-40,4
eb91-77,6
13c0-45,6
bf0d-54,5
6db8-76,6
1c14-95,4
13c0-60,5
207c-20,5
13c0-71,5
8238-76,5
a3d8-76,6
a3d8-31,6
6db8-36,6
47b2-37,5
bf0d-11,5
13c0-81,5
991f-33,5
13c0-56,4
bf0d-40,4
991f-71,5
8238-93,6
eb91-93,5
47b2-75,6
1c14-36,5
207c-94,4
13c0-2,4
991f-89,4
47b2-8,4
13c0-6,7
