Key,Value,2020-10-11-15-33
a748-40,4
1905-37,5
9345-69,5
9345-42,7
a748-1,5
1905-77,7
a748-18,4
990c-9,5
1905-30,5
990c-39,5
4c50-8,7
1905-82,6
4c50-39,6
9f1f-4,5
86a9-10,5
86a9-31,5
86a9-53,6
9f1f-17,4
1905-52,7
9f1f-91,4
9345-97,7
a006-41,5
1905-93,5
08fe-54,6
a748-99,6
5828-28,4
4c50-17,6
9f1f-13,5
990c-77,5
a006-93,7
4c50-49,5
1905-1,8
9345-2,5
9f1f-92,5
86a9-15,5
a748-85,5
08fe-2,5
9f1f-5,6
86a9-12,7
a748-22,5
9345-65,5
86a9-41,5
990c-69,5
1905-85,6
4c50-90,6
1905-33,5
5828-56,5
5828-1,6
08fe-77,4
5828-18,4
990c-87,4
a006-12,4
9345-13,4
1905-81,6
86a9-14,5
990c-36,5
4c50-3,4
4c50-30,5
5828-93,5
08fe-27,5
86a9-42,4
4c50-57,6
5828-68,5
4c50-92,4
08fe-45,6
9f1f-11,6
9345-73,5
5828-19,5
990c-60,5
a006-8,5
9345-58,4
a748-50,5
990c-80,5
08fe-21,5
9f1f-90,6
990c-31,4
990c-16,5
08fe-24,5
08fe-20,6
9345-79,6
9345-15,4
4c50-34,4
9f1f-87,4
86a9-75,5
a748-62,6
990c-52,5
990c-8,7
5828-41,4
a748-47,5
a006-76,5
9345-17,4
86a9-17,4
5828-2,5
1905-76,5
4c50-15,4
9f1f-29,5
08fe-78,5
9345-86,4
9345-98,4
5828-35,4
4c50-98,5
5828-89,4
9f1f-66,5
08fe-29,6
990c-43,5
4c50-68,4
a748-76,5
a006-89,7
86a9-91,4
5828-83,4
1905-83,4
a006-29,5
86a9-32,6
9f1f-9,4
86a9-99,5
a748-56,5
4c50-20,6
4c50-29,5
9f1f-89,4
9f1f-40,5
a748-71,7
5828-24,5
9345-48,5
a748-31,6
990c-95,4
9345-93,4
a006-47,5
a006-94,5
a748-46,7
a006-53,4
9345-99,5
a006-43,5
5828-72,4
9345-28,5
a748-97,4
a006-48,5
1905-5,6
990c-59,4
9f1f-0,5
9345-37,5
990c-61,5
a748-65,6
990c-47,5
990c-88,5
a748-25,5
86a9-1,6
4c50-60,4
1905-60,5
990c-18,4
86a9-62,5
9f1f-27,4
9345-90,5
08fe-40,5
a748-95,6
990c-72,5
a748-93,5
4c50-26,5
08fe-97,5
9345-27,4
990c-81,6
990c-30,5
86a9-7,5
990c-29,6
9f1f-74,5
990c-53,6
a748-8,5
9f1f-54,5
08fe-94,4
08fe-66,6
9f1f-52,5
86a9-61,4
4c50-88,6
4c50-52,6
9f1f-75,4
1905-54,5
5828-57,5
08fe-85,4
86a9-77,6
4c50-97,5
990c-37,4
4c50-58,4
9345-31,5
5828-43,5
990c-15,5
990c-64,5
